编号（关联功能）,序列号,部件名（系统）,型号,品牌
FXS-QZ06,C12045103350 SA,进样器,AOC-20i,Shimadzu
FXS-QZ06,C12055101423 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ07,O20525165034 US,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ07,129418019,机械泵,E2M1.5,Edwards
FXS-QZ07,C12125101328 SA,进样器,AOC-20i,Shimadzu
FXS-QZ07,C12135100782 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ08,US1433M402,质谱主机,5977A（G7039A）,Agilent
FXS-QZ08,22005249,进样器,DUO 2.5,Pfeiffer Vacuum
FXS-QZ08,CN14343199,气相主机,7890B（G3442B）,Agilent
FXS-QZ08,CN14360030,进样器,7693 Autosampler,Agilent
FXS-QZ09,O20525302240 SA,气相质谱主机,GCMS-QP 2010 Ultra,Shimadzu
FXS-QZ09,159429728,机械泵,E2M1.5,Edwards
FXS-QZ09,C12125305281 SA,进样器,AOC-20i,Shimadzu
FXS-QZ09,C12135303551 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ10,O21425300143 SA,气相质谱主机,GCMS-QP 2020,Shimadzu
FXS-QZ10,159444973,机械泵,E2M1.5,Edwards
FXS-QZ10,C12125307371 SA,进样器,AOC-20i,Shimadzu
FXS-QZ10,C12135304611 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ11,O21425300201 SA,气相质谱主机,GCMS-QP 2020,Shimadzu
FXS-QZ11,159455364,机械泵,E2M1.5,Edwards
FXS-QZ11,C12125407606 SA,进样器,AOC-20i,Shimadzu
FXS-QZ11,C12135405739 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ12,021425400959 SA,气相质谱主机,GCMS-QP 2020,Shimadzu
FXS-QZ12,169431405,机械泵,E2M1.5,Edwards
FXS-QZ12,C12125410791 SA,进样器,AOC-20i,Shimadzu
FXS-QZ12,C12135407359 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ13,O21425501202 SA,气相质谱主机,GCMS-QP 2020,Shimadzu
FXS-QZ13,119486537,机械泵,E2M1.5,Edwards
FXS-QZ13,C12125511839 SA,进样器,AOC-20i,Shimadzu
FXS-QZ13,C12135508261 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ14,O21425501203 SA,气相质谱主机,GCMS-QP 2020,Shimadzu
FXS-QZ14,179407592,机械泵,E2M1.5,Edwards
FXS-QZ14,C12125511578 SA,进样器,AOC-20i,Shimadzu
FXS-QZ14,C12135508295 SA,进样盘,AOC-20s,Shimadzu
FXS-QZ15,US1841R031,质谱主机,5977B（G7081B）,Agilent
FXS-QZ15,22058708,机械泵,DUO 2.5,Pfeiffer Vacuum
FXS-QZ15,CN18433129,气相主机,7890B（G3440B）,Agilent
FXS-QZ15,CN18390062,进样器,7693A Autosampler,Agilent
FXS-YX01,DEBAA01858,输液泵,G4220A,Agilent
FXS-YX01,DEBAP02161,自动进样器,G4226A,Agilent
FXS-YX01,DEBAK06779,进样器温控器,G1330B,Agilent
FXS-YX01,DEBAC03075,柱温箱,G1316C,Agilent
FXS-YX01,DEBAF01426,DAD检测器,G4212A,Agilent
FXS-YX01,DEABO01737,FLD检测器,G1321B,Agilent
FXS-YX02,DEBAA04577,输液泵,G4220A,Agilent
FXS-YX02,DEBAP05629,自动进样器,G4226A,Agilent
FXS-YX02,DEBAK18318,进样器温控器,G1330B,Agilent
FXS-YX02,DEBAC08791,柱温箱,G1316C,Agilent
FXS-YX02,DEBAF03417,DAD检测器,G4212A,Agilent
FXS-YX02,DEABW05914,FLD检测器,G1321B,Agilent
FXS-YX03,DEBAY00184,输液泵,G7120A,Agilent
FXS-YX03,DEBAQ00358,自动进样器,G7167B,Agilent
FXS-YX03,DEBAZ00210,柱温箱,G7116B,Agilent
FXS-YX03,DEBAV00194,DAD检测器,G7117A,Agilent
FXS-YX04,DEBAY00186,输液泵,G7120A,Agilent
FXS-YX04,DEBAQ00265,自动进样器,G7167B,Agilent
FXS-YX04,DEBAZ00208,柱温箱,G7116B,Agilent
FXS-YX04,DEBAV00195,DAD检测器,G7117A,Agilent
FXS-YX05,L20695310241 IX,脱气机,DGU-20A 3R,Shimadzu
FXS-YX05,L20435304208 AE,输液泵 A,LC-20AD XR,Shimadzu
FXS-YX05,L20435304210 AE,输液泵 B,LC-20AD XR,Shimadzu
FXS-YX05,L20455301316 AE,自动进样器,SIL-20AC XR,Shimadzu
FXS-YX05,L20215316441 CD,柱温箱,CTO-20AC,Shimadzu
FXS-YX05,L20235327694 CD,控制器,CBM-20A,Shimadzu
FXS-YX05,L20155315867 CD,紫外检测器,SPD-M20A,Shimadzu
FXS-YX06,DEBAY01148,输液泵,G7120A,Agilent
FXS-YX06,DEBAQ02047,自动进样器,G7167B,Agilent
FXS-YX06,DEBAZ01665,柱温箱,G7116B,Agilent
FXS-YX06,DEBAV01155,DAD检测器,G7117A,Agilent
FXS-YX06,DEBAW05916,FLD检测器,G1321B,Agilent
FXS-YX07,DEBAY01153,输液泵,G7120A,Agilent
FXS-YX07,DEBAQ02046,自动进样器,G7167B,Agilent
FXS-YX07,DEBAZ01664,柱温箱,G7116B,Agilent
FXS-YX07,DEBAV01140,DAD检测器,G7117A,Agilent
